ID,AreaID,DiseaseID
43168,18480,20172
43169,18480,20120
43170,18480,20142
43171,18481,20800
43172,18481,20172
43173,18481,20120
43174,18481,20142
43175,18482,20800
43176,18482,20172
43177,18482,20120
43178,18482,20142
43179,18483,20800
43180,18483,20172
43181,18483,20120
43182,18483,20142
43183,18484,20800
43184,18484,20172
43185,18484,20120
43186,18484,20142
43187,18485,20800
43188,18485,20172
43189,18485,20120
43190,18485,20142
43191,18486,20800
43192,18486,20172
43193,18486,20120
43194,18486,20142
43195,18487,20800
43196,18487,20172
43197,18487,20120
43198,18487,20142
43199,18488,20800
43200,18488,20172
43201,18488,20120
43202,18488,20142
43203,18489,20800
43204,18489,20172
43205,18489,20120
43206,18489,20142
43207,18490,20800
43208,18490,20172
43209,18490,20120
43210,18490,20142
43211,18491,20800
43212,18491,20172
43213,18491,20120
43214,18491,20142
43215,18492,20800
43216,18492,20172
43217,18492,20120
43218,18492,20142
43219,18493,30100
43220,18493,30102
43221,18494,20800
43222,18494,20172
43223,18494,20120
43224,18494,20142
43225,18495,20800
43226,18495,20172
43227,18495,20120
43228,18495,20142
43229,18496,20800
43230,18496,20172
43231,18496,20120
43232,18496,20142
43233,18497,20800
43234,18497,20172
43235,18497,20120
43236,18497,20142
43253,18506,30100
43254,18506,30101
43255,18507,30100
43256,18507,30101
43257,18508,30100
43258,18508,30101
43259,18509,30100
43260,18509,30101
43261,18510,30100
43262,18510,30101
43263,18511,30100
43264,18511,30101
43265,18512,30100
43266,18512,30101
43267,18513,30100
43268,18513,30101
43269,18514,30100
43270,18514,30101
43271,18515,30100
43272,18515,30101
43273,18516,30100
43274,18516,30101
43275,18517,30100
43276,18517,30101
43277,18518,30100
43278,18518,30101
43279,18519,30100
43280,18519,30101
43281,18520,30100
43282,18520,30101
43283,18521,30100
43284,18521,30101
43285,18522,30100
43286,18522,30101
43287,18523,30100
43288,18523,30101
43289,18524,30100
43290,18524,30101
43291,18525,30100
43292,18525,30101
43293,18526,30100
43294,18526,30101
43295,18527,30100
43296,18527,30101
43297,18528,30100
43298,18528,30101
43299,18529,30100
43300,18529,30101
43301,18530,30100
43302,18530,30101
43303,18531,30100
43304,18531,30101
43305,18532,30100
43306,18532,30101
43307,18533,30100
43308,18533,30101
43309,18534,30100
43310,18534,30101
43311,18535,30100
43312,18535,30101
43313,18536,30100
43314,18536,30101
43315,18537,30100
43316,18537,30101
43317,18538,30100
43318,18538,30101
43319,18539,30100
43320,18539,30101
43321,18540,30100
43322,18540,30101
43323,18541,30100
43324,18541,30101
43325,18542,30100
43326,18542,30101
43327,18543,30100
43328,18543,30101
43329,18544,30100
43330,18544,30101
43331,18545,30100
43332,18545,30101
43333,18546,30100
43334,18546,30101
43335,18547,30100
43336,18547,30101
43337,18548,30100
43338,18548,30101
43339,18549,30100
43340,18549,30101
43341,18550,30100
43342,18550,30101
43343,18551,30100
43344,18551,30101
43345,18552,30100
43346,18552,30101
43347,18553,30100
43348,18553,30101
43349,18554,30100
